N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"82,000",0,0.00%,100,"4,895,222","5,969,783",54.76,"24,946,952",21.35,9.99,
2,SK하이닉스,"136,000","2,500",-1.81%,"5,000","990,083","728,002",50.38,"8,844,268",34.50,4.25,
3,NAVER,"374,000","16,500",-4.23%,100,"614,345","164,263",57.31,"1,020,821",74.46,10.56,
4,LG화학,"860,000","25,000",-2.82%,"5,000","607,094","70,592",45.12,"433,459",80.35,1.84,
5,삼성전자우,"72,700",500,-0.68%,100,"598,239","822,887",78.89,"2,280,224",18.93,N/A,
6,현대차,"235,000","9,500",-3.89%,"5,000","502,120","213,668",31.12,"2,001,203",56.15,4.32,
7,삼성바이오로직스,"747,000","13,000",-1.71%,"2,500","494,253","66,165",10.43,"119,952",139.08,4.77,
8,삼성SDI,"687,000","23,000",-3.24%,"5,000","472,412","68,765",44.25,"534,224",234.39,2.94,
9,카카오,"473,500","13,500",-2.77%,500,"419,851","88,670",34.38,"641,855",-525.53,-5.81,
10,셀트리온,"282,000","14,000",-4.73%,"1,000","380,778","135,028",21.20,"1,425,334",76.22,11.19,
11,기아차,"75,000","3,700",-4.70%,"5,000","304,023","405,363",33.89,"4,604,901",34.85,6.50,
12,현대모비스,"310,000","15,000",-4.62%,"5,000","294,670","95,055",40.26,"679,746",18.90,7.28,
13,SK이노베이션,"266,500","18,000",-6.33%,"5,000","246,421","92,466",23.17,"1,156,348",-10.14,-0.20,
14,LG전자,"150,000","7,500",-4.76%,"5,000","245,472","163,648",31.78,"2,991,499",32.58,0.22,
15,LG생활건강,"1,558,000","27,000",-1.70%,"5,000","243,332","15,618",45.78,"33,193",34.91,20.32,
16,POSCO,"274,000","5,500",-1.97%,"5,000","238,892","87,187",51.93,"538,983",25.10,4.18,
17,삼성물산,"122,000","2,500",-2.01%,100,"228,002","186,887",14.68,"586,320",20.44,4.77,
18,엔씨소프트,"934,000","3,000",+0.32%,500,"205,051","21,954",50.22,"117,934",36.55,14.72,
19,SK텔레콤,"243,500","3,500",-1.42%,500,"196,616","80,746",35.93,"395,890",17.93,3.92,
20,SK,"265,000","10,500",-3.81%,200,"186,455","70,360",21.80,"575,997","1,118.14",4.31,
21,KB금융,"43,150",550,-1.26%,"5,000","179,421","415,808",66.59,"2,006,500",5.26,8.92,
22,신한지주,"33,150",350,+1.07%,"5,000","171,253","516,600",58.46,"4,077,775",4.75,9.09,
